User_ID,Account_Balance,Previous_Fraudulent_Activity
USER_1103,26161.86,0
USER_1104,40700.39,0
USER_1105,23342.07,1
USER_1106,57597.47,1
USER_1107,39344.34,1
USER_1108,64871.54,0
USER_1109,58008.04,0
USER_1110,12947.06,1
USER_1111,90275.33,1
USER_1112,11959.44,1
USER_1113,20614.37,0
USER_1114,43529.99,0
USER_1115,97594.88,1
USER_1116,60377.88,1
USER_1117,46879.66,0
USER_1118,28004.81,0
USER_1119,18285.95,0
USER_1120,1889.33,1
USER_1121,31886.62,1
USER_1122,44608.41,0
USER_1123,74133.75,1
USER_1124,71455.18,0
USER_1125,13354.7,1
USER_1126,29002.71,0
USER_1127,22930.03,0
USER_1128,11183.96,0
USER_1129,36491.87,1
USER_1130,39935.82,1
USER_1131,18793.21,0
USER_1132,20623.06,1
USER_1133,37487.13,0
USER_1134,31296.51,1
USER_1135,99102.97,0
USER_1136,24940.86,0
USER_1137,68316.54,1
USER_1138,40802.2,1
USER_1139,63727.48,0
USER_1140,10162.98,0
USER_1141,86620.04,0
USER_1142,75058.01,0
USER_1143,81186.93,0
USER_1144,9782.41,1
USER_1145,77848.2,1
USER_1146,45030.79,0
USER_1147,27042.02,0
USER_1148,74397.32,0
USER_1149,96428.29,0
USER_1150,30581.25,1
USER_1151,68386.25,0
USER_1152,71358.82,1
USER_1153,87543.06,1
USER_1154,21702.28,0
USER_1155,10617.68,1
USER_1156,76217.83,0
USER_1157,57060.31,0
USER_1158,94065.87,1
USER_1159,78723.15,0
USER_1160,88905.91,1
USER_1161,46621.8,0
USER_1162,5603.47,0
USER_1163,64183.43,0
USER_1164,93677.18,1
USER_1165,91637.97,0
USER_1166,34696.74,1
USER_1167,23148.69,1
USER_1168,48852.49,0
USER_1169,70656.39,0
USER_1170,51393.37,1
USER_1171,28791.75,1
USER_1172,85022.6,0
USER_1173,47811.9,0
USER_1174,71583.34,1
USER_1175,70584.99,0
USER_1176,46052.03,0
USER_1177,92568.53,0
USER_1178,96688.95,1
USER_1179,78272.61,1
USER_1180,53972.45,0
USER_1181,55224.05,0
USER_1182,8932.47,1
USER_1183,70667.81,0
USER_1184,30757.58,1
USER_1185,72844.12,0
USER_1186,63296.04,0
USER_1187,81145.95,0
USER_1188,78032.98,0
USER_1189,18332.52,1
USER_1190,2319.13,0
USER_1191,56732.67,0
USER_1192,28107.8,0
USER_1193,5027.99,1
USER_1194,90853.37,0
USER_1195,86259.33,0
USER_1196,10936.85,1
USER_1197,49673.65,0
USER_1198,26683.43,0
USER_1199,40287.78,0
USER_1200,50013.76,0
USER_1201,12224.92,0
USER_1202,45382.92,1
USER_1203,39097.28,0
USER_1204,74407.38,0
USER_1205,99652.2,1
USER_1206,93723.26,1
USER_1207,96056.52,0
USER_1208,74009.07,1
USER_1209,6666.5,0
USER_1210,19731.02,0
USER_1211,80767.89,0
USER_1212,12449.02,0
USER_1213,2713.2,0
USER_1214,97038.18,1
USER_1215,19677.19,1
USER_1216,91167.46,0
USER_1217,4232.39,0
USER_1218,5041.0,0
USER_1219,61900.04,0
USER_1220,66149.62,1
USER_1221,32174.61,1
USER_1222,5134.16,0
USER_1223,62491.88,1
USER_1224,47756.79,1
USER_1225,25725.58,0
USER_1226,55859.39,0
USER_1227,48664.73,1
USER_1228,24822.29,0
USER_1229,5990.18,0
USER_1230,62103.36,0
USER_1231,81077.79,1
USER_1232,45564.32,1
USER_1233,97952.83,1
USER_1234,65977.36,0
USER_1235,76818.24,1
USER_1236,34710.39,0
USER_1237,6515.29,1
USER_1238,24657.63,0
USER_1239,97713.59,1
USER_1240,52710.49,1
USER_1241,82669.6,0
USER_1242,56197.89,0
USER_1243,51759.08,0
USER_1244,3062.74,0
USER_1245,93798.5,0
USER_1246,80278.44,0
USER_1247,30083.62,1
USER_1248,41022.68,1
USER_1249,12173.49,0
USER_1250,68790.25,0
USER_1251,46813.69,0
USER_1252,95336.36,0
USER_1253,54671.62,1
USER_1254,79785.54,0
USER_1255,46078.59,1
USER_1256,24784.34,0
USER_1257,58184.18,0
USER_1258,99846.93,1
USER_1259,40420.02,0
USER_1260,84042.66,0
USER_1261,2892.31,1
USER_1262,31164.79,1
USER_1263,79285.29,1
USER_1264,97751.33,0
USER_1265,89648.32,0
USER_1266,45707.73,0
USER_1267,24517.39,1
USER_1268,65183.52,0
USER_1269,32479.52,0
USER_1270,91573.38,0
USER_1271,1329.44,0
USER_1272,15410.27,1
USER_1274,22223.72,0
USER_1275,3408.7,1
USER_1276,53289.41,0
USER_1277,50831.06,0
USER_1278,22224.02,0
USER_1279,79796.6,1
USER_1280,14642.37,0
USER_1281,85732.01,0
USER_1282,6347.3,1
USER_1283,56586.23,1
USER_1284,2250.0,0
USER_1285,47052.46,0
USER_1286,9989.08,1
USER_1287,63702.22,0
USER_1288,81818.83,0
USER_1289,67842.16,1
USER_1290,67767.73,1
USER_1291,70930.54,0
USER_1292,38382.71,1
USER_1293,46963.15,0
USER_1294,20860.07,0
USER_1295,2364.38,1
USER_1296,4874.88,1
USER_1297,89004.77,1
USER_1298,45427.49,1
USER_1299,82302.05,0
USER_1300,70163.99,1
USER_1301,48636.12,1
USER_1302,53047.48,1
USER_1303,72028.47,1
USER_1304,4023.24,0
USER_1305,64088.67,1
USER_1306,17480.24,0
USER_1307,36367.28,0
USER_1308,1930.59,0
USER_1309,59896.99,1
USER_1310,99689.76,0
USER_1311,1603.64,0
USER_1312,3214.88,0
USER_1313,56331.71,0
USER_1314,41534.69,1
USER_1315,66306.47,0
USER_1316,10577.61,0
USER_1317,39046.7,0
USER_1318,43333.89,1
USER_1319,95355.92,1
USER_1320,40570.25,0
USER_1321,58661.75,0
USER_1322,73319.09,0
USER_1323,17346.19,0
USER_1324,4815.2,0
USER_1325,62341.57,1
USER_1326,85005.46,1
USER_1327,24311.27,0
USER_1328,76968.31,0
USER_1329,85067.77,1
USER_1330,84051.62,1
USER_1331,60832.67,0
USER_1332,85809.72,0
USER_1333,80980.29,1
USER_1334,23735.62,0
USER_1335,96687.86,0
USER_1336,96621.3,0
USER_1337,51401.63,0
USER_1338,58615.54,0
USER_1339,8986.71,0
USER_1340,32711.67,1
USER_1341,75469.16,1
USER_1342,34989.28,0
USER_1343,49389.75,0
USER_1344,48002.61,0
USER_1345,99317.87,0
USER_1346,26011.2,1
USER_1347,1086.38,0
USER_1348,49314.38,1
USER_1349,82296.09,1
USER_1350,88023.8,0
USER_1351,94424.84,1
USER_1352,44315.55,0
USER_1353,36991.37,1
USER_1354,22157.07,1
USER_1355,62272.6,0
USER_1356,45362.46,1
USER_1357,89642.31,0
USER_1358,71388.66,1
USER_1359,46836.92,0
USER_1360,2073.97,1
USER_1361,37658.68,0
USER_1362,2688.8,1
USER_1363,66753.06,1
USER_1364,43738.53,1
USER_1365,76158.97,1
USER_1366,5168.3,0
USER_1367,29820.87,1
USER_1368,95176.56,1
USER_1369,33601.66,1
USER_1370,47535.54,1
USER_1371,79647.33,1
USER_1372,40275.19,0
USER_1373,26607.71,0
USER_1374,69994.88,0
USER_1375,25823.27,1
USER_1376,28137.46,1
USER_1377,20996.91,1
USER_1378,71215.25,1
USER_1379,22985.81,0
USER_1380,81049.51,0
USER_1381,75333.35,0
USER_1382,96601.72,1
USER_1383,46163.97,1
USER_1384,26850.78,0
USER_1385,17320.97,1
USER_1386,60460.07,1
USER_1387,36864.94,1
USER_1388,27593.88,1
USER_1389,49829.9,1
USER_1390,62782.65,0
USER_1391,13698.16,0
USER_1392,22586.39,1
USER_1393,47488.03,1
USER_1394,3786.88,1
USER_1395,78807.99,0
USER_1396,13189.56,0
USER_1397,54363.4,1
USER_1398,20533.89,1
USER_1399,36797.61,0
USER_1400,97926.85,1
USER_1401,87671.16,1
USER_1402,49828.75,1
USER_1403,95421.11,1
USER_1404,16500.91,0
USER_1405,73671.79,1
USER_1406,51268.59,0
USER_1407,15401.18,0
USER_1408,12120.28,0
USER_1409,5727.67,0
USER_1410,59105.92,0
USER_1411,29832.86,1
USER_1412,37104.42,1
USER_1413,77169.89,0
USER_1414,7053.35,1
USER_1415,46801.99,0
USER_1416,57584.96,0
USER_1417,87070.23,0
USER_1418,10909.47,1
USER_1419,9948.98,0
USER_1420,21153.8,0
USER_1421,89878.47,1
USER_1422,70166.77,0
USER_1423,93453.91,0
USER_1424,8383.45,0
USER_1425,47137.99,0
USER_1426,15238.11,0
USER_1427,88508.98,0
USER_1428,73244.26,0
USER_1429,48775.82,0
USER_1430,10984.44,0
USER_1431,23186.42,0
USER_1432,26659.18,0
USER_1433,38166.71,0
USER_1434,49433.94,0
USER_1435,83921.36,1
USER_1436,87219.76,1
USER_1437,54064.46,1
USER_1438,42652.24,0
USER_1439,73359.59,0
USER_1440,59586.41,0
USER_1441,68006.72,0
USER_1442,7404.06,1
USER_1443,99826.91,1
USER_1444,88163.0,0
USER_1445,91806.16,0
USER_1446,36715.7,1
USER_1447,46374.82,0
USER_1448,932.95,0
USER_1449,20865.15,1
USER_1450,21806.39,1
USER_1451,27882.04,0
USER_1452,24063.62,1
USER_1453,48918.55,1
USER_1454,57760.68,0
USER_1455,28554.86,1
USER_1456,13402.88,0
USER_1457,31376.95,0
USER_1458,20490.51,1
USER_1459,36128.21,0
USER_1460,84818.61,1
USER_1461,64320.4,0
USER_1462,90775.99,1
USER_1463,60252.55,1
USER_1464,21276.17,1
USER_1465,51852.37,1
USER_1466,32524.79,0
USER_1467,51490.69,0
USER_1468,91742.02,0
USER_1469,71982.97,0
USER_1470,52070.85,1
USER_1471,19429.34,1
USER_1472,65257.0,0
USER_1473,39656.04,0
USER_1474,36882.23,0
USER_1475,16624.0,0
USER_1476,5154.31,0
USER_1477,14449.01,0
USER_1478,40655.49,0
USER_1479,61876.57,1
USER_1480,93541.14,1
USER_1481,89143.49,0
USER_1482,59199.09,0
USER_1483,10491.01,1
USER_1484,45477.04,0
USER_1485,76581.66,0
USER_1486,45929.24,1
USER_1487,72472.27,0
USER_1488,44293.02,0
USER_1489,73417.41,0
USER_1490,63968.6,0
USER_1491,74394.99,0
USER_1492,77706.61,0
USER_1493,7959.17,0
USER_1494,25857.99,1
USER_1495,3430.33,0
USER_1496,18579.77,0
USER_1497,8901.76,1
USER_1498,95398.64,1
USER_1499,82234.17,0
USER_1500,78770.49,1
USER_1501,70851.58,0
USER_1502,59624.17,0
USER_1503,7124.3,0
USER_1504,8007.01,0
USER_1505,59379.74,0
USER_1506,70002.08,0
USER_1507,88238.1,0
USER_1508,30492.72,1
USER_1509,13110.96,1
USER_1510,20363.68,0
USER_1511,41223.5,0
USER_1512,77538.68,0
USER_1513,80067.65,0
USER_1514,58452.37,0
USER_1515,61081.56,0
USER_1516,9657.03,0
USER_1517,68541.48,0
USER_1518,16964.6,0
USER_1519,84962.86,1
USER_1520,74610.88,0
USER_1521,85834.21,1
USER_1522,61911.25,0
USER_1523,27328.78,1
USER_1524,54475.69,0
USER_1525,52199.72,1
USER_1526,37430.64,0
USER_1527,28432.7,0
USER_1528,40780.83,0
USER_1529,29801.29,1
USER_1530,30529.85,1
USER_1531,89626.74,1
USER_1532,47975.23,1
USER_1533,50695.97,1
USER_1534,49641.7,0
USER_1535,36146.9,1
USER_1536,53681.1,0
USER_1537,23363.14,1
USER_1538,5310.92,1
USER_1539,24329.69,0
USER_1540,4763.11,1
USER_1541,84849.68,0
USER_1542,66187.55,1
USER_1543,58917.71,0
USER_1544,25975.86,0
USER_1545,90987.09,0
USER_1546,84065.4,1
USER_1547,13440.6,0
USER_1548,69241.38,1
USER_1549,31254.77,1
USER_1550,19003.25,0
USER_1551,5238.99,1
USER_1552,63767.24,1
USER_1553,29513.23,0
USER_1554,61926.07,0
USER_1555,49737.73,0
USER_1556,2362.85,1
USER_1557,8601.77,0
USER_1558,3403.81,1
USER_1559,87089.33,1
USER_1560,57941.52,1
USER_1561,67946.28,0
USER_1562,26885.43,0
USER_1563,67483.15,0
USER_1564,95726.26,0
USER_1565,93990.78,0
USER_1566,20852.76,0
USER_1567,27044.67,1
USER_1568,14766.68,0
USER_1569,78928.01,0
USER_1570,6446.41,0
USER_1571,23256.88,1
USER_1572,82728.51,1
USER_1573,22732.36,0
USER_1574,41973.71,0
USER_1575,72688.28,1
USER_1576,65258.13,1
USER_1577,87532.32,0
USER_1578,17730.72,0
USER_1579,8508.94,1
USER_1580,29389.9,1
USER_1581,97604.18,0
USER_1582,64202.34,0
USER_1583,63010.22,1
USER_1584,64719.57,1
USER_1585,26181.43,0
USER_1586,31155.86,1
USER_1587,7502.31,1
USER_1588,60455.54,0
USER_1589,28666.44,1
USER_1590,4675.09,1
USER_1591,48234.66,1
USER_1592,17307.23,1
USER_1593,11031.32,1
USER_1594,26533.42,0
USER_1595,57944.6,1
USER_1596,50092.59,0
USER_1597,83950.93,1
USER_1598,51507.94,1
USER_1599,64152.45,0
USER_1600,98671.64,0
USER_1601,5689.23,0
USER_1602,83663.51,1
USER_1603,35764.29,1
USER_1604,81050.72,0
USER_1605,65062.82,1
USER_1606,40415.1,0
USER_1607,70680.95,1
USER_1608,35979.73,0
USER_1609,61626.75,1
USER_1610,61371.34,0
USER_1611,22216.37,1
USER_1612,93848.61,0
USER_1613,13768.39,0
USER_1614,67084.24,1
USER_1615,19719.61,1
USER_1616,34805.65,1
USER_1617,49331.43,1
USER_1618,56026.83,0
USER_1619,23062.84,0
USER_1620,7398.4,0
USER_1621,90531.29,0
USER_1622,96645.68,0
USER_1623,66391.01,1
USER_1624,71006.02,0
USER_1625,15365.04,1
USER_1626,49974.2,0
USER_1627,60151.54,0
USER_1628,26021.65,0
USER_1629,85077.13,0
USER_1630,54790.45,0
USER_1631,51980.24,0
USER_1632,21970.7,1
USER_1633,75307.4,0
USER_1634,98792.07,0
USER_1635,35342.75,0
USER_1636,47710.71,0
USER_1637,44474.69,1
USER_1638,56828.73,0
USER_1639,9042.65,1
USER_1640,32464.45,0
USER_1641,32619.16,0
USER_1642,19940.86,0
USER_1643,36700.92,0
USER_1644,80223.82,0
USER_1645,19803.17,1
USER_1646,38399.86,0
USER_1647,38476.68,0
USER_1648,55267.66,1
USER_1649,48358.11,1
USER_1650,52601.31,1
USER_1651,61145.48,1
USER_1652,41826.37,0
USER_1653,47572.14,0
USER_1654,52554.44,1
USER_1655,22656.66,1
USER_1656,82397.63,0
USER_1657,62579.12,1
USER_1658,32404.12,1
USER_1659,19845.57,0
USER_1660,40369.64,0
USER_1661,31714.65,0
USER_1662,46822.68,1
USER_1663,504.84,0
USER_1664,23104.73,0
USER_1665,57583.06,0
USER_1666,11564.48,0
USER_1667,43520.73,1
USER_1668,54704.72,1
USER_1669,75917.51,0
USER_1670,20905.43,0
USER_1671,54831.75,1
USER_1672,50633.07,1
USER_1673,80619.89,0
USER_1674,91464.98,1
USER_1675,79563.27,1
USER_1676,80419.48,1
USER_1677,1477.12,1
USER_1678,26245.57,0
USER_1679,83785.56,0
USER_1680,70655.87,1
USER_1681,78552.47,0
USER_1682,16398.32,1
USER_1683,69414.39,0
USER_1684,73496.42,1
USER_1685,77700.09,0
USER_1686,52812.16,0
USER_1687,3501.06,1
USER_1688,33460.14,0
USER_1689,40829.59,0
USER_1690,45283.93,0
USER_1691,74298.52,0
USER_1692,22761.27,0
USER_1693,75168.58,0
USER_1694,52926.25,1
USER_1695,47765.74,0
USER_1696,51763.28,0
USER_1697,73794.64,0
USER_1698,59861.8,0
USER_1699,70326.28,0
USER_1700,89660.62,0
USER_1701,31082.19,1
USER_1702,63534.82,1
USER_1703,64693.01,0
USER_1704,39158.75,0
USER_1705,32978.31,0
USER_1706,55319.33,0
USER_1707,12958.54,0
USER_1708,25982.86,0
USER_1709,14899.73,0
USER_1710,58435.78,1
USER_1711,23565.67,1
USER_1712,49228.23,0
USER_1713,43386.81,1
USER_1714,60351.01,0
USER_1715,34895.66,0
USER_1716,71437.25,0
USER_1717,47254.46,1
USER_1718,9534.31,0
USER_1719,31128.67,0
USER_1720,24624.05,1
USER_1721,15746.91,1
USER_1722,31387.44,0
USER_1723,6675.89,0
USER_1724,2379.62,0
USER_1725,59979.83,1
USER_1726,16284.67,1
USER_1727,38597.85,0
USER_1728,23393.55,0
USER_1729,26646.45,0
USER_1730,99063.33,1
USER_1731,64672.27,0
USER_1732,71918.17,1
USER_1733,24348.24,1
USER_1734,33740.12,1
USER_1735,89865.29,0
USER_1736,41475.72,1
USER_1737,88935.55,0
USER_1738,60624.31,1
USER_1739,72831.8,1
USER_1740,48113.22,0
USER_1741,73853.9,1
USER_1742,36997.7,0
USER_1743,55964.9,1
USER_1744,86262.53,1
USER_1745,56760.87,0
USER_1746,49857.33,1
USER_1747,49936.16,1
USER_1748,20257.08,1
USER_1749,5766.49,1
USER_1750,17499.33,0
USER_1751,90485.1,0
USER_1752,36497.26,0
USER_1753,69815.63,1
USER_1754,52477.16,1
USER_1755,14372.36,0
USER_1756,92074.37,0
USER_1757,97537.47,0
USER_1758,60308.98,1
USER_1759,48812.28,1
USER_1760,13872.46,1
USER_1761,98843.1,0
USER_1762,56250.89,1
USER_1763,46262.07,0
USER_1764,53762.16,0
USER_1765,87101.45,1
USER_1766,7072.58,1
USER_1767,4311.29,1
USER_1768,56524.95,1
USER_1769,64587.73,1
USER_1770,94522.42,1
USER_1771,90646.42,0
USER_1772,95416.29,1
USER_1773,63615.56,1
USER_1774,93236.06,1
USER_1775,14148.49,0
USER_1776,97309.89,0
USER_1777,72266.94,0
USER_1778,1430.58,0
USER_1779,59516.78,0
USER_1780,29303.78,0
USER_1781,99974.82,0
USER_1782,17506.39,1
USER_1783,96590.55,0
USER_1784,81202.36,1
USER_1785,81183.05,0
USER_1786,49336.05,0
USER_1787,76871.87,1
USER_1788,83190.23,0
USER_1789,12003.59,1
USER_1790,29108.12,0
USER_1791,34786.1,0
USER_1792,9574.35,1
USER_1793,87278.08,0
USER_1794,87287.31,1
USER_1795,83620.53,0
USER_1796,24724.23,0
USER_1797,94743.51,1
USER_1798,70191.4,1
USER_1799,50983.21,0
USER_1800,97481.65,0
USER_1801,87881.75,0
USER_1802,49945.86,1
USER_1803,76974.68,1
USER_1804,59672.14,1
USER_1805,60149.56,1
USER_1806,51354.2,0
USER_1807,73102.25,1
USER_1808,52400.1,1
USER_1809,4948.39,1
USER_1810,42857.94,1
USER_1811,8820.68,0
USER_1812,93988.05,0
USER_1813,80192.5,1
USER_1814,45210.27,0
USER_1815,79122.83,1
USER_1816,76855.56,0
USER_1817,61077.59,0
USER_1818,45995.9,1
USER_1819,22646.58,1
USER_1820,16712.02,1
USER_1821,85581.27,0
USER_1822,91669.17,0
USER_1823,74530.02,1
USER_1824,84345.22,0
USER_1825,3589.46,1
USER_1826,71059.77,0
USER_1827,30381.27,1
USER_1828,13422.43,0
USER_1829,54151.11,1
USER_1830,29587.46,1
USER_1831,67508.23,0
USER_1832,51902.25,0
USER_1833,75847.22,1
USER_1834,7591.55,1
USER_1835,45261.53,1
USER_1836,23608.07,0
USER_1837,92642.56,1
USER_1838,4603.25,1
USER_1839,10643.6,0
USER_1840,77678.19,0
USER_1841,93012.03,0
USER_1842,18641.18,0
USER_1843,54330.23,0
USER_1844,6052.52,1
USER_1845,93133.53,0
USER_1846,45009.58,1
USER_1847,39603.43,1
USER_1848,73790.36,0
USER_1849,38007.98,0
USER_1850,1781.11,0
USER_1851,43193.2,1
USER_1852,94242.66,0
USER_1853,63718.7,0
USER_1854,52004.03,1
USER_1855,8715.88,0
USER_1856,67660.78,1
USER_1857,20426.4,0
USER_1858,84704.46,0
USER_1859,59631.46,0
USER_1860,13285.05,1
USER_1861,2013.91,0
USER_1862,62882.2,0
USER_1863,34216.69,1
USER_1864,49204.86,0
USER_1865,66725.15,0
USER_1866,59278.2,0
USER_1867,55239.81,0
USER_1868,20513.65,0
USER_1869,95727.19,0
USER_1870,46310.37,1
USER_1871,59078.44,0
USER_1872,66722.14,0
USER_1873,28060.35,0
USER_1874,18789.81,0
USER_1875,19077.66,0
USER_1876,68155.07,0
USER_1877,3325.07,1
USER_1878,91479.21,1
USER_1879,23997.5,0
USER_1880,65404.98,0
USER_1881,81088.68,0
USER_1882,87555.0,1
USER_1883,11297.36,1
USER_1884,26716.4,0
USER_1885,9289.53,0
USER_1886,37049.01,0
USER_1887,34656.69,0
USER_1888,38554.02,0
USER_1889,54838.84,1
USER_1890,88636.41,0
USER_1891,54320.56,0
USER_1892,75192.44,1
USER_1893,29907.48,0
USER_1894,4698.36,0
USER_1895,70086.38,0
USER_1896,96663.66,1
USER_1897,92508.29,0
USER_1898,25651.47,1
USER_1899,84258.59,1
USER_1900,74396.82,0
USER_1901,53197.05,1
USER_1902,33099.69,0
USER_1903,42537.51,0
USER_1904,57769.92,1
USER_1905,55936.57,1
USER_1906,20288.86,1
USER_1907,4978.0,0
USER_1908,87284.84,1
USER_1909,19009.36,0
USER_1910,11362.09,0
USER_1911,13475.56,0
USER_1912,55907.52,0
USER_1913,21989.72,1
USER_1914,62320.7,0
USER_1915,64256.82,0
USER_1916,45891.48,1
USER_1917,42547.45,1
USER_1918,40425.56,0
USER_1919,11851.07,1
USER_1920,57091.22,1
USER_1921,86523.75,1
USER_1922,41507.36,1
USER_1923,55338.76,0
USER_1924,10169.59,1
USER_1925,81298.24,1
USER_1926,67846.77,1
USER_1927,26344.25,1
USER_1928,18704.82,0
USER_1929,7306.43,0
USER_1930,49707.16,1
USER_1931,8031.67,1
USER_1932,66095.76,0
USER_1933,90981.73,1
USER_1934,52171.61,0
USER_1935,50825.02,1
USER_1936,87888.65,0
USER_1937,50329.14,0
USER_1938,88927.03,1
USER_1939,64928.55,1
USER_1940,96848.37,0
USER_1941,65009.6,0
USER_1942,78707.04,0
USER_1943,82625.29,0
USER_1944,76918.68,1
USER_1945,38333.35,0
USER_1946,59194.39,0
USER_1947,37734.4,1
USER_1948,23333.4,0
USER_1949,88262.22,0
USER_1950,11367.28,0
USER_1951,28973.86,1
USER_1952,41616.63,1
USER_1953,11344.36,0
USER_1954,27773.22,0
USER_1955,28061.85,0
USER_1956,11984.99,0
USER_1957,83869.47,1
USER_1958,9692.82,1
USER_1959,21821.85,1
USER_1960,13754.37,0
USER_1961,41289.6,1
USER_1962,67381.84,0
USER_1963,51507.05,0
USER_1964,16336.1,1
USER_1965,25517.73,1
USER_1966,23275.83,0
USER_1967,44457.8,0
USER_1968,14797.11,1
USER_1969,7135.08,1
USER_1970,59411.56,0
USER_1971,87686.29,0
USER_1972,56928.7,0
USER_1973,76134.19,1
USER_1974,13454.07,1
USER_1975,48658.56,1
USER_1976,9620.74,0
USER_1977,99511.66,0
USER_1978,29940.41,1
USER_1979,28615.44,1
USER_1980,63009.89,0
USER_1981,69055.56,0
USER_1982,72940.44,0
USER_1983,56596.05,0
USER_1984,70979.54,0
USER_1985,3542.65,0
USER_1986,85584.6,1
USER_1987,95497.35,1
USER_1988,7415.11,1
USER_1989,69977.34,0
USER_1990,20047.9,1
USER_1991,48561.74,0
USER_1992,64547.02,1
USER_1993,54844.61,0
USER_1994,5283.47,0
USER_1995,98769.56,0
USER_1996,27915.78,0
USER_1997,14371.96,1
USER_1998,89988.61,1
USER_1999,72753.51,1
USER_2000,76337.33,0
USER_2001,42276.62,0
USER_2002,28761.55,1
USER_2003,77080.26,1
USER_2004,47138.0,0
USER_2005,9127.1,0
USER_2006,5819.3,1
USER_2007,33772.08,0
USER_2008,30666.83,1
USER_2009,32541.67,1
USER_2010,54510.74,1
USER_2011,80851.15,0
USER_2012,35273.48,1
USER_2013,40242.6,1
USER_2014,84683.71,1
USER_2015,34434.55,1
USER_2016,9967.07,1
USER_2017,86020.81,0
USER_2018,52316.04,0
USER_2019,65620.71,0
USER_2020,51600.02,0
USER_2021,65622.55,0
USER_2022,90063.01,1
USER_2023,65397.56,1
USER_2024,34466.41,0
USER_2025,75023.16,0
USER_2026,81086.21,0
USER_2027,71020.39,0
USER_2028,62851.75,0
USER_2029,96320.46,0
USER_2030,89211.5,1
USER_2031,91462.47,1
USER_2032,20492.54,0
USER_2033,2404.25,0
USER_2034,88531.02,0
USER_2035,21819.4,0
USER_2036,41687.67,0
USER_2037,84328.65,1
USER_2038,47496.05,1
USER_2039,26441.83,0
USER_2040,52046.5,1
USER_2041,59164.86,1
USER_2042,47881.07,1
USER_2043,59803.52,0
USER_2044,78888.14,0
USER_2045,40770.32,0
USER_2046,59111.38,0
USER_2047,17586.02,0
USER_2048,19786.57,0
USER_2049,63925.77,1
USER_2050,3573.51,0
USER_2051,76411.7,0
USER_2052,93472.22,0
USER_2053,71449.68,0
USER_2054,90870.94,0
USER_2055,9053.51,0
USER_2056,44189.52,0
USER_2057,2951.28,1
USER_2058,36086.74,1
USER_2059,4232.5,0
USER_2060,34759.19,1
USER_2061,46445.17,0
USER_2062,36461.73,0
USER_2063,20331.45,0
USER_2064,74504.03,0
USER_2065,18123.46,0
USER_2066,29408.6,1
USER_2067,67307.12,0
USER_2068,76734.32,1
USER_2069,57824.19,0
USER_2070,38053.28,0
USER_2071,52082.66,0
USER_2072,24601.34,0
